,20,40,60,80,100
Merkle Tree,0.0,0.00010197162628173828,0.00016024112701416016,0.0001827538013458252,0.00015630722045898438
Accumulator: Batch,0.013430047035217284,0.013403105735778808,0.013034915924072266,0.015547966957092286,0.015263845920562744
Accumulator: Batch w. NI-PoE,0.01027432680130005,0.010369592905044555,0.01082846721013387,0.011454027891159058,0.010878653526306152
